model,MAE,RMSE,sMAPE(%),model_path
Baseline_MA7,4891.984348508633,8410.075342974345,57.8686661134486,
Ridge,4967.005169411571,8160.538467818127,62.65960935867828,
RandomForest,5250.265992928832,8585.54032936,61.30756426546197,
Baseline_Naive(t-1),5320.4160877513705,9439.611699596962,65.72821658415798,
HistGB,6358.174949176577,11244.967828309438,63.815580350093185,
