model,MAE,RMSE,MAPE(%),sMAPE(%)
RandomForest,15182.086527777776,19463.697541950572,39.58990369408171,27.94711144849375
XGBoost,15754.531167200854,20552.373218318677,42.760134878711455,28.643647868107173
Ridge,24086.505193463778,28373.25528072259,68.08152014587847,39.71681209629948
