model,MAE,RMSE,MAPE(%),sMAPE(%)
Ridge,4967.005169416559,8160.538467819899,284.6296982522628,62.65960935882335
RandomForest,5244.211606204379,8556.258304455065,283.6214042281947,61.386921734326094
XGBoost,5643.535242452134,9556.974830796553,312.2668076758285,62.4299982433492
